#Number,Level,UnitName,UnitNumber,WordJP,WordEn
0,basic,[基礎]生物の共通性と多様性,1,細胞,cell
1,basic,[基礎]生物の共通性と多様性,1,原核生物,prokaryotes
2,basic,[基礎]生物の共通性と多様性,1,真核生物,eukaryotes
3,basic,[基礎]生物の共通性と多様性,1,単細胞生物,unicellular organism
4,basic,[基礎]生物の共通性と多様性,1,多細胞生物,multicellular organism
5,basic,[基礎]生物の共通性と多様性,1,核,nucleus
6,basic,[基礎]生物の共通性と多様性,1,細胞質,cytoplasm
7,basic,[基礎]生物の共通性と多様性,1,細胞膜,plasma membrane (cell membrane)
8,basic,[基礎]細胞とエネルギー,2,呼吸,respiration
9,basic,[基礎]細胞とエネルギー,2,光合成,photosynthesis
10,basic,[基礎]細胞とエネルギー,2,ミトコンドリア,mitochondrion
11,basic,[基礎]細胞とエネルギー,2,葉緑体,chloroplast
12,basic,[基礎]細胞とエネルギー,2,グルコース (ブドウ糖),glucose
13,basic,[基礎]細胞とエネルギー,2,有機物,organic matter
14,basic,[基礎]細胞とエネルギー,2,代謝,metabolism
15,basic,[基礎]細胞とエネルギー,2,エネルギー,energy
16,basic,[基礎]細胞とエネルギー,2,酵素,enzyme
17,basic,[基礎]細胞とエネルギー,2,触媒,catalyst
18,basic,[基礎]細胞とエネルギー,2,ATP,ATP
19,basic,[基礎]細胞とエネルギー,2,ADP,ADP
20,basic,[基礎]遺伝情報とDNA,3,遺伝,heredity (inheritance)
21,basic,[基礎]遺伝情報とDNA,3,遺伝子,gene
22,basic,[基礎]遺伝情報とDNA,3,DNA,DNA
23,basic,[基礎]遺伝情報とDNA,3,二重らせん,double helix
24,basic,[基礎]遺伝情報とDNA,3,DNA複製,DNA replication
25,basic,[基礎]遺伝情報とDNA,3,塩基配列,nucleotide sequence
26,basic,[基礎]遺伝情報とDNA,3,塩基対,base pair
27,basic,[基礎]遺伝情報とDNA,3,ヌクレオチド,nucleotide
28,basic,[基礎]遺伝情報とDNA,3,ゲノム,genome
29,basic,[基礎]遺伝情報の分配,4,細胞周期,cell cycle
30,basic,[基礎]遺伝情報の分配,4,細胞分裂,cell division
31,basic,[基礎]遺伝情報の分配,4,遺伝子発現,gene expression
32,basic,[基礎]遺伝情報とタンパク質の合成,5,RNA,RNA
33,basic,[基礎]遺伝情報とタンパク質の合成,5,mRNA,mRNA (messenger RNA)
34,basic,[基礎]遺伝情報とタンパク質の合成,5,tRNA,tRNA (transfer RNA)
35,basic,[基礎]遺伝情報とタンパク質の合成,5,rRNA,rRNA (ribosomal RNA)
36,basic,[基礎]遺伝情報とタンパク質の合成,5,タンパク質,protein
37,basic,[基礎]遺伝情報とタンパク質の合成,5,転写,transcription
38,basic,[基礎]遺伝情報とタンパク質の合成,5,翻訳,translation
39,basic,[基礎]遺伝情報とタンパク質の合成,5,基質,substrate
40,basic,[基礎]遺伝情報とタンパク質の合成,5,基質特異性,substrate specificity
41,basic,[基礎]体内環境の維持の仕組み,6,神経系,nervous system
42,basic,[基礎]体内環境の維持の仕組み,6,中枢神経系,central nervous system
43,basic,[基礎]体内環境の維持の仕組み,6,末梢神経系,peripheral nervous system
44,basic,[基礎]体内環境の維持の仕組み,6,自律神経系,autonomic nervous system
45,basic,[基礎]体内環境の維持の仕組み,6,交感神経系,sympathetic nervous system
46,basic,[基礎]体内環境の維持の仕組み,6,副交感神経系,parasympathetic nervous system
47,basic,[基礎]体内環境の維持の仕組み,6,内分泌系,endocrine system
48,basic,[基礎]体内環境の維持の仕組み,6,内分泌腺,endocrine gland
49,basic,[基礎]体内環境の維持の仕組み,6,ホルモン,hormone
50,basic,[基礎]体内環境の維持の仕組み,6,受容体,receptor
51,basic,[基礎]体内環境の維持の仕組み,6,下垂体 (脳下垂体),pituitary gland
52,basic,[基礎]体内環境の維持の仕組み,6,恒常性 (ホメオスタシス),homeostasis
53,basic,[基礎]体内環境の維持の仕組み,6,血液,blood
54,basic,[基礎]体内環境の維持の仕組み,6,赤血球,erythrocyte
55,basic,[基礎]体内環境の維持の仕組み,6,白血球,leukocyte
56,basic,[基礎]体内環境の維持の仕組み,6,血小板,platelet
57,basic,[基礎]体内環境の維持の仕組み,6,血しょう,blood plasma
58,basic,[基礎]体内環境の維持の仕組み,6,血清,serum
59,basic,[基礎]体内環境の維持の仕組み,6,血液凝固,blood coagulation
60,basic,[基礎]体内環境の維持の仕組み,6,解毒作用,detoxification
61,basic,[基礎]体内環境の維持の仕組み,6,血糖,blood sugar
62,basic,[基礎]免疫,7,免疫,immunity
63,basic,[基礎]免疫,7,抗原,antigen
64,basic,[基礎]免疫,7,抗体,antibody
65,basic,[基礎]免疫,7,免疫グロブリン,immunoglobulin
66,basic,[基礎]免疫,7,食作用,phagocytosis
67,basic,[基礎]免疫,7,ワクチン,vaccine
68,basic,[基礎]免疫,7,アレルギー,allergy
69,basic,[基礎]植生と遷移,8,環境,environment
70,basic,[基礎]植生と遷移,8,植生,vegetation
71,basic,[基礎]植生と遷移,8,遷移,succession
72,basic,[基礎]植生と遷移,8,森林,forest
73,basic,[基礎]植生と遷移,8,極相,climax
74,basic,[基礎]気候とバイオーム,9,バイオーム,biome
75,basic,[基礎]気候とバイオーム,9,優占種,dominant species
76,basic,[基礎]気候とバイオーム,9,草原,grassland
77,basic,[基礎]気候とバイオーム,9,荒原,desert
78,basic,[基礎]気候とバイオーム,9,生態系,ecosystem
79,basic,[基礎]気候とバイオーム,9,生物多様性,biodiversity
80,basic,[基礎]気候とバイオーム,9,絶滅,extinction
81,basic,[基礎]気候とバイオーム,9,保全,conservation
82,basic,[基礎]気候とバイオーム,9,かく乱,disturbance
83,basic,有性生殖/減数分裂と受精,10,染色体,chromosome
84,basic,有性生殖/減数分裂と受精,10,組換え,recombination
85,basic,有性生殖/減数分裂と受精,10,連鎖,linkage
86,basic,有性生殖/減数分裂と受精,10,アレル (対立遺伝子),allele
87,basic,有性生殖/減数分裂と受精,10,遺伝子座,locus
88,basic,有性生殖/減数分裂と受精,10,遺伝子型 (遺伝型),genotype
89,basic,有性生殖/減数分裂と受精,10,表現型,phenotype
90,basic,有性生殖/減数分裂と受精,10,生殖 (繁殖),reproduction
91,basic,有性生殖/減数分裂と受精,10,有性生殖,sexual reproduction
92,basic,有性生殖/減数分裂と受精,10,減数分裂,meiosis
93,basic,有性生殖/減数分裂と受精,10,配偶子,gamete
94,basic,有性生殖/減数分裂と受精,10,性染色体,sex chromosome
95,basic,有性生殖/減数分裂と受精,10,クローン,clone
96,basic,進化の仕組み,11,進化,evolution
97,basic,進化の仕組み,11,化学進化,chemical evolution
98,basic,進化の仕組み,11,細胞内共生,endosymbiosis
99,basic,進化の仕組み,11,突然変異,mutation
100,basic,進化の仕組み,11,適応,adaptation
101,basic,進化の仕組み,11,自然選択,natural selection
102,basic,進化の仕組み,11,種分化,speciation
103,basic,進化の仕組み,11,共進化,coevolution
104,basic,進化の仕組み,11,変異,variation
105,basic,進化の仕組み,11,遺伝的浮動,genetic drift
106,basic,進化の仕組み,11,分子進化,molecular evolution
107,basic,生物の分類と系統,12,分類,classification
108,basic,生物の分類と系統,12,系統,lineage
109,basic,生物の分類と系統,12,系統分類,systematics
110,basic,生物の分類と系統,12,系統樹,phylogenetic tree
111,basic,生物の分類と系統,12,古生代,Paleozoic
112,basic,生物の分類と系統,12,中生代,Mesozoic
113,basic,生物の分類と系統,12,新生代,Cenozoic
114,basic,生物の分類と系統,12,種,species
115,basic,生物の分類と系統,12,学名,scientific name
116,basic,生物の分類と系統,12,ドメイン,domain
117,basic,生物の分類と系統,12,界,kingdom
118,basic,生物の分類と系統,12,門,phylum
119,basic,生物の分類と系統,12,アーキア,Archaea
120,basic,生物の分類と系統,12,細菌,Bacteria
121,basic,生物の分類と系統,12,菌類,Fungi
122,basic,生物の分類と系統,12,脊椎動物,vertebrate
123,basic,生物の分類と系統,12,無脊椎動物,invertebrate
124,basic,生物の分類と系統,12,哺乳類,mammal
125,basic,生物の分類と系統,12,霊長類,primate
126,basic,生物の分類と系統,12,ホモ・サピエンス,Homo sapiens
127,basic,生物の分類と系統,12,種子植物,Spermatophyta
128,basic,生物の分類と系統,12,被子植物,angiosperm
129,basic,生物の分類と系統,12,裸子植物,gymnosperm
130,basic,生物の分類と系統,12,藻類,algae
131,basic,細胞と分子/生体物質と細胞,13,生体膜,biomembrane
132,basic,細胞と分子/生体物質と細胞,13,細胞小器官 (オルガネラ),organelle
133,basic,細胞と分子/生体物質と細胞,13,小胞体,endoplasmic reticulum
134,basic,細胞と分子/生体物質と細胞,13,ゴルジ体,Golgi apparatus
135,basic,細胞と分子/生体物質と細胞,13,リソソーム,lysosome
136,basic,細胞と分子/生体物質と細胞,13,液胞,vacuole
137,basic,細胞と分子/生体物質と細胞,13,細胞骨格,cytoskeleton
138,basic,細胞と分子/生体物質と細胞,13,微小管,microtubule
139,basic,細胞と分子/生体物質と細胞,13,アクチンフィラメント (アクチン繊維),actin filament
140,basic,細胞と分子/生体物質と細胞,13,細胞壁,cell wall
141,basic,細胞と分子/生体物質と細胞,13,リボソーム,ribosome
142,basic,細胞と分子/生体物質と細胞,13,核酸,nucleic acid
143,basic,細胞と分子/生体物質と細胞,13,脂質,lipid
144,basic,細胞と分子/生体物質と細胞,13,リン脂質,phospholipid
145,basic,細胞と分子/生体物質と細胞,13,炭水化物,carbohydrate
146,basic,細胞と分子/生体物質と細胞,13,能動輸送,active transport
147,basic,細胞と分子/生命現象とタンパク質,14,アミノ酸,amino acid
148,basic,細胞と分子/生命現象とタンパク質,14,ペプチド,peptide
149,basic,細胞と分子/生命現象とタンパク質,14,ポリペプチド,polypeptide
150,basic,細胞と分子/生命現象とタンパク質,14,立体構造,three-dimensional structure
151,basic,細胞と分子/生命現象とタンパク質,14,活性部位,active site
152,basic,細胞と分子/生命現象とタンパク質,14,失活,inactivation
153,basic,細胞と分子/生命現象とタンパク質,14,変性,denaturation
154,basic,代謝/呼吸と光合成,15,解糖,glycolysis
155,basic,代謝/呼吸と光合成,15,発酵,fermentation
156,basic,代謝/呼吸と光合成,15,クエン酸回路,citric acid cycle
157,basic,代謝/呼吸と光合成,15,電子伝達系,electron transport system
158,basic,代謝/呼吸と光合成,15,カルビン回路,Calvin cycle
159,basic,代謝/呼吸と光合成,15,クロロフィル,chlorophyll
160,basic,代謝/窒素同化,16,窒素固定,nitrogen fixation
161,basic,遺伝情報の発現,17,遺伝情報,genetic information
162,basic,遺伝情報の発現,17,コドン,codon
163,basic,遺伝情報の発現,17,DNAポリメラーゼ,DNA polymerase
164,basic,遺伝情報の発現,17,RNAポリメラーゼ,RNA polymerase
165,basic,遺伝情報の発現,17,スプライシング,splicing
166,basic,遺伝情報の発現,17,エキソン,exon
167,basic,遺伝情報の発現,17,イントロン,intron
168,basic,遺伝子の発現調節,18,転写因子,transcription factor
169,basic,遺伝子の発現調節,18,プロモーター,promoter
170,basic,動物の発生,19,発生,development
171,basic,動物の発生,19,分化,differentiation
172,basic,動物の発生,19,細胞分化,cell differentiation
173,basic,動物の発生,19,卵,egg
174,basic,動物の発生,19,精子,sperm
175,basic,動物の発生,19,受精,fertilization
176,basic,動物の発生,19,受精卵,fertilized egg
177,basic,動物の発生,19,卵割,cleavage
178,basic,動物の発生,19,胚,embryo
179,basic,動物の発生,19,胞胚,blastula
180,basic,動物の発生,19,原腸胚,gastrula
181,basic,動物の発生,19,誘導,induction
182,basic,動物の発生,19,オーガナイザー (形成体),organizer
183,basic,動物の発生,19,外胚葉,ectoderm
184,basic,動物の発生,19,内胚葉,endoderm
185,basic,動物の発生,19,中胚葉,mesoderm
186,basic,動物の発生,19,形態形成,morphogenesis
187,basic,動物の発生,19,幼生,larva
188,basic,動物の発生,19,変態,metamorphosis
189,basic,動物の発生,19,発生運命,fate
190,basic,植物の発生,20,卵細胞,egg cell (ovum)
191,basic,植物の発生,20,精細胞,sperm cell (spermatid)
192,basic,植物の発生,20,花粉,pollen
193,basic,植物の発生,20,種子,seed
194,basic,植物の発生,20,胚乳,endosperm
195,basic,植物の発生,20,形成層,cambium
196,basic,バイオテクノロジー,21,制限酵素,restriction enzyme
197,basic,バイオテクノロジー,21,ベクター,vector
198,basic,バイオテクノロジー,21,組換え DNA,recombinant DNA
199,basic,バイオテクノロジー,21,形質転換,transformation
200,basic,刺激の受容と反応,22,神経細胞 (ニューロン),neuron
201,basic,刺激の受容と反応,22,大脳,cerebrum
202,basic,刺激の受容と反応,22,小脳,cerebellum
203,basic,刺激の受容と反応,22,脊髄,spinal cord
204,basic,刺激の受容と反応,22,受容器,receptor organ
205,basic,刺激の受容と反応,22,効果器,effector organ
206,basic,刺激の受容と反応,22,感覚神経,sensory nerve
207,basic,刺激の受容と反応,22,運動神経,motor nerve
208,basic,刺激の受容と反応,22,シナプス,synapse
209,basic,刺激の受容と反応,22,軸索,axon
210,basic,刺激の受容と反応,22,樹状突起,dendrite
